restuarant_name,restuarant_url,contact_number,address,review_count,categories,pricing,rating
Segambut Fried Chicken Rice,https://www.yelp.com/biz/segambut-fried-chicken-rice-kuala-lumpur,010-972 1595,1-13 Persiaran Segambut Tengah,1,American (Traditional),,4 star rating
Heun Kee Claypot Chicken Rice,https://www.yelp.com/biz/heun-kee-claypot-chicken-rice-kuala-lumpur,03-9108 1170,"20, Jalan Cerdik",2,Cantonese,,4 star rating
Fresco,https://www.yelp.com/biz/fresco-kuala-lumpur,,Jalan Tub Razak,6,Steakhouses,,4 star rating
KyoChon 1991,https://www.yelp.com/biz/kyochon-1991-kuala-lumpur,017-283 3707,Jalan Bukit Bintang,2,Korean,$,4.5 star rating
Sayang Malaysia,https://www.yelp.com/biz/sayang-malaysia-kuala-lumpur,,KL Sentral,2,Malaysian,,4 star rating
Restoran Woo Lan,https://www.yelp.com/biz/restoran-woo-lan-kuala-lumpur,03-2274 8368,"No. 19, Jalan Scott",1,Restaurants,$$,5 star rating
Restoran Sun Kar Hee,https://www.yelp.com/biz/restoran-sun-kar-hee-kuala-lumpur,03-6253 1240,"No. 28, Jalan Manjoi",1,Restaurants,,3 star rating
Kin Kin Pan Mee @ Pandan Indah,https://www.yelp.com/biz/kin-kin-pan-mee-pandan-indah-kuala-lumpur,,"Jalan Perubatan 4, Pandan Indah",4,Chinese,,4 star rating
Porto Romano,https://www.yelp.com/biz/porto-romano-kuala-lumpur-3,03-6207 8171,"1, Jalan Kiara, Taman Sri Hartamas",4,Greek,,3.5 star rating
CaliBurger,https://www.yelp.com/biz/caliburger-kuala-lumpur,03-2181 5693,156 Jalan Ampang,2,Burgers,$,4.5 star rating
Bruno’s Steaks and Burgers,https://www.yelp.com/biz/brunos-steaks-and-burgers-kuala-lumpur,,"Jalan 25/70A, Desa Sri Hartamas",2,Steakhouses,$$,5 star rating
Rasa Food Arena,https://www.yelp.com/biz/rasa-food-arena-kuala-lumpur-3,Located in Suria KLCC,Located in Suria KLCC,3,Food Court,,4.5 star rating
Precious Old China Restaurant & Bar,https://www.yelp.com/biz/precious-old-china-restaurant-and-bar-kuala-lumpur,03-2273 7372,Jalan Hang Kasturi,6,Nyonya,$,4 star rating
