word,Highest_word_score
burger,0.6021513469505757
slabs,0.3187856018062201
bone,0.36763551930009897
ribs,0.38889114567394484
cabonara,0.4693811697161147
platter,0.5049893492941501
ribs,0.25336081581166936
spain,0.31928083824570913
genuine,0.3601443546639603
arrive,0.32464762249336443
mistake,0.35376743886055345
ribs,0.2325947771252743
mee,0.22515515852600101
court,0.3470540723238883
random,0.35456140140816406
options,0.27930440735576406
fairly,0.34265408525106633
besides,0.28140732552992914
belly,0.46117139535867435
escalator,0.29571551055376644
repeat,0.21323222119280627
japan,0.31798321812689273
hokkien,0.587387229497252
restaurants,0.252354494665218
court,0.321785600195201
bowl,0.41661774759740294
brands,0.328251508094796
court,0.5817993248409588
bathroom,0.3588428993743287
foods,0.5918976919613758
brunch,0.591196881855533
stalls,0.24253033852428152
tomahawk,0.29373718117633896
fine,0.31949313448768263
brunch,0.3944347199349354
luxury,0.23105009248775799
beginning,0.32774636043211497
tomahawk,0.28378053104594997
marble,0.3932130286420432
view,0.37926480962690057
elegance,0.3836776918471828
tower,0.38080056704427395
area,0.20113348521105004
beer,0.32857735711593866
siew,0.24486669730296154
siew,0.2565143554024702
many,0.4135692820577808
siew,0.6357108813461315
tan,0.4031813768160881
wanton,0.35144281366850666
pass,0.42189940955728067
moroccan,0.5415886134167789
great,0.4171533307135123
arabic,0.4075849647354318
really,0.3250803860859609
fridge,0.3359821501944082
tarbush,0.33141775749631275
shish,0.469098743589504
moroccan,0.4367419054190967
eaters,0.34910050838082307
meats,0.48580441129609536
shawarma,0.726145265685213
shawarma,0.41545117269139525
mutton,0.4073506289440917
wonderful,0.2769961636336317
lamb,0.45119501474908835
bread,0.4798415449218388
loves,0.41510453055601876
us,0.26356127722271094
simply,0.2662843131117262
strict,0.37605841059748274
great,0.3694344391325345
excellent,0.46969238671742497
effort,0.28931207039127627
roast,0.47687213211903084
approach,0.18769221620621726
nunggu,0.6186436746465352
magic,0.4955124917391918
sio,0.40303802479431716
siew,0.457334451443906
yuk,0.5953675365314801
roasted,0.3481608865648601
cute,0.3710179606840986
everything,0.42072718583179936
special,0.620292708886607
pulp,0.3277713402606385
excellent,0.4727822798147627
clear,0.3156438248696619
eggplant,0.2707487595600383
taxi,0.2911486990107516
pricey,0.2613296355972073
rules,0.3180582975825862
penang,0.41016006256751464
meal,0.24013908391525446
deep,0.29446902020242255
stingray,0.2427409672350827
plenty,0.29916984397623136
tray,0.35724761700816066
malay,0.5052389281896249
shrimp,0.2493908291326897
sum,0.3635423431614091
row,0.3988487830940677
noodle,0.5328521179022796
moved,0.48610935253204474
sentral,0.3140247450774418
spaghetti,0.36964395379116805
local,0.23169217695947492
cuisines,0.3290975936292636
quality,0.2999519136565611
wings,0.3922467378858042
steamboat,0.5616473371768959
ribs,0.3972788439758578
patrons,0.3018809114399605
michelin,0.39791424791764274
depth,0.23750727869903174
fish,0.4052590263931566
id,0.3141275114285162
steaks,0.4840915264324795
mediocre,0.43322439177976274
steak,0.3069304821530844
charbroiled,0.2210093027174213
